Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI
51,1,109.3,1.78,182,157,64,0.54,420.0,2,28.7,3.3,3,1,34.5
50,1,69.6,1.96,166,139,68,0.97,667.0,2,25.6,2.0,3,1,18.12
40,0,56.2,1.79,198,153,57,1.79,1369.0,3,17.6,2.7,5,3,17.54
41,1,71.7,1.96,162,168,51,0.51,424.0,3,27.3,2.5,2,1,18.66
54,1,86.0,1.93,171,163,51,1.74,1404.0,2,12.9,3.5,5,3,23.09
52,0,79.4,1.59,166,163,59,1.39,1020.0,2,26.6,1.5,3,2,31.41
57,0,78.4,1.62,185,149,52,1.01,677.0,2,31.7,2.0,4,2,29.87
39,0,55.4,1.6,192,136,72,1.44,979.0,1,26.3,1.6,3,2,21.64
44,0,61.7,1.55,196,129,66,1.41,819.0,2,33.1,2.6,4,2,25.68
52,1,85.5,1.82,174,154,57,1.78,1357.0,3,14.9,3.5,4,3,25.81
18,1,87.6,1.93,161,139,72,1.72,1315.0,1,11.9,3.5,4,3,23.52
52,1,82.4,1.72,166,137,53,1.01,685.0,2,24.4,2.7,4,2,27.85
54,1,67.0,1.68,191,164,63,0.55,446.0,3,20.5,2.8,3,1,23.74
31,0,42.3,1.6,163,163,70,1.09,888.0,0,25.1,1.9,3,2,16.52
20,1,82.7,1.99,179,146,59,1.69,1357.0,1,14.6,3.5,5,3,20.88
18,1,92.4,1.74,195,168,50,1.41,1303.0,3,21.3,3.1,2,1,30.52
22,0,63.2,1.54,191,155,53,1.02,790.0,0,29.5,2.4,4,2,26.65
43,1,82.7,1.85,187,142,50,1.22,858.0,3,28.2,3.1,4,2,24.16
31,1,86.6,1.76,172,151,66,1.29,1071.0,2,28.9,3.3,3,2,27.96
56,1,129.5,1.95,160,129,66,1.0,639.0,2,25.2,3.5,2,1,34.06
44,1,98.0,1.83,194,130,56,1.28,824.0,0,25.7,3.5,4,2,29.26
26,1,86.2,1.68,189,157,72,1.97,1701.0,2,13.3,3.5,5,3,30.54
32,1,78.6,1.62,195,125,69,1.28,880.0,3,29.6,3.1,3,1,29.95
32,0,59.0,1.66,184,160,64,0.51,408.0,0,31.0,1.8,2,1,21.41
43,0,57.3,1.79,175,166,62,1.98,1479.0,3,17.8,2.7,4,3,17.88
59,1,122.3,1.89,178,153,51,0.66,500.0,3,20.1,3.1,3,1,34.24
30,1,85.3,1.95,160,155,68,1.61,1373.0,3,10.4,3.5,5,3,22.43
49,0,45.2,1.74,164,156,73,1.24,870.0,2,30.8,2.1,3,2,14.93
56,1,55.6,1.92,181,136,62,0.68,458.0,2,29.4,3.2,3,1,15.08
49,1,82.8,1.95,183,159,73,1.91,1503.0,3,14.3,3.5,5,3,21.78
21,1,125.2,1.66,196,159,60,1.38,1207.0,1,29.8,3.4,3,2,45.43
47,0,58.5,1.79,195,131,71,1.42,837.0,3,30.3,2.4,4,2,18.26
54,1,86.1,1.95,195,140,64,1.17,811.0,3,27.9,3.4,2,1,22.64
40,0,63.5,1.61,163,159,59,1.31,1041.0,0,33.4,1.6,3,2,24.5
56,1,69.3,1.68,195,138,58,0.66,451.0,3,26.5,2.1,2,1,24.55
32,0,70.5,1.62,177,122,58,1.24,756.0,2,28.4,1.8,2,1,26.86
46,0,60.1,1.65,175,137,69,1.69,1042.0,0,17.3,2.7,4,3,22.08
53,1,94.1,1.95,177,138,50,0.89,608.0,1,28.6,3.5,3,1,24.75
30,0,79.2,1.62,181,166,66,1.26,1046.0,0,28.0,2.5,4,2,30.18
49,1,115.3,1.91,161,125,61,1.38,854.0,1,29.2,3.2,2,1,31.61
24,0,62.9,1.79,180,135,59,1.42,958.0,0,27.3,2.3,4,2,19.63
39,1,62.0,1.64,195,127,54,0.97,678.0,0,27.5,3.2,3,1,23.05
45,1,88.5,1.78,198,167,67,1.53,1265.0,1,13.2,3.5,4,3,27.93
19,0,73.9,1.77,198,137,64,1.28,877.0,2,32.5,2.6,3,2,23.59
59,1,50.3,1.95,188,167,55,1.07,885.0,2,24.4,3.4,3,1,13.23
23,1,83.1,1.8,185,162,56,0.7,624.0,2,29.3,3.1,3,1,25.65
45,0,65.1,1.78,180,158,66,1.46,1038.0,0,31.3,2.3,3,1,20.55
45,1,46.6,1.79,176,168,55,1.46,1214.0,3,22.9,2.4,3,2,14.54
37,1,103.5,1.89,175,168,57,0.54,499.0,0,26.4,3.1,2,1,28.97
47,0,61.9,1.54,190,131,61,1.95,1150.0,3,16.4,2.7,4,3,26.1
28,0,52.0,1.61,168,164,70,1.32,1082.0,3,27.9,2.0,3,2,20.06
45,1,113.4,1.71,190,129,63,0.83,530.0,2,24.0,2.3,2,1,38.78
42,1,62.9,1.98,173,126,61,1.42,886.0,3,28.5,3.4,4,2,16.04
56,0,40.4,1.8,196,165,72,1.23,913.0,0,30.0,2.1,4,2,12.47
50,0,67.1,1.75,161,120,59,0.67,362.0,0,31.8,2.7,3,1,21.91
18,1,70.0,1.61,173,168,71,1.3,1201.0,2,23.9,2.5,2,1,27.01
44,0,69.5,1.75,192,155,69,1.02,711.0,1,27.6,2.1,3,1,22.69
30,1,107.9,1.66,194,140,64,1.08,832.0,0,29.5,2.8,3,2,39.16
58,1,109.0,1.91,198,156,56,1.49,1151.0,3,26.0,2.2,3,2,29.88
20,1,101.0,1.91,179,143,58,1.36,1070.0,0,29.3,2.7,3,2,27.69
56,1,88.5,1.85,161,144,59,1.57,1119.0,0,11.0,3.5,4,3,25.86
23,1,80.9,1.8,178,126,59,1.55,1074.0,0,10.7,3.5,4,3,24.97
25,0,43.1,1.62,196,161,65,1.04,837.0,1,33.6,1.8,4,2,16.42
44,0,59.1,1.52,177,136,56,1.58,967.0,3,18.4,2.7,5,3,25.58
26,0,54.0,1.53,175,148,54,1.14,844.0,2,26.9,1.7,3,1,23.07
54,0,72.3,1.78,163,149,72,1.27,852.0,0,27.7,1.8,2,1,22.82
50,1,51.1,1.98,171,126,52,0.92,574.0,3,28.0,2.4,2,1,13.03
59,1,89.4,1.72,188,152,67,1.08,813.0,3,24.5,3.2,3,1,30.22
41,1,51.5,1.8,166,126,60,1.09,680.0,2,26.7,2.1,4,2,15.9
32,1,87.9,1.88,173,143,64,1.52,1195.0,0,11.6,3.5,5,3,24.87
49,0,42.0,1.52,171,130,70,1.1,644.0,1,28.8,2.2,3,1,18.18
49,1,79.2,1.72,194,128,69,1.46,925.0,3,29.9,3.3,3,1,26.77
41,1,64.8,1.71,164,131,54,1.2,778.0,2,22.5,2.8,3,2,22.16
58,0,63.0,1.78,176,154,73,1.58,1095.0,1,17.5,2.7,4,3,19.88
29,0,56.2,1.77,191,123,61,0.68,418.0,3,33.4,2.6,3,1,17.94
56,0,52.9,1.64,169,155,53,1.1,767.0,0,27.4,2.3,3,2,19.67
19,0,49.0,1.69,176,147,64,1.05,772.0,3,29.2,2.4,3,1,17.16
20,1,128.2,1.84,164,132,58,0.83,603.0,1,26.2,2.3,3,1,37.87
54,1,83.6,1.86,168,142,56,1.54,1082.0,1,12.4,3.5,5,3,24.16
34,0,56.2,1.77,192,138,59,1.81,1249.0,0,17.3,2.7,5,3,17.94
19,1,87.8,1.78,195,161,72,1.28,1133.0,0,23.6,3.3,2,1,27.71
19,1,85.9,1.85,195,156,62,1.66,1424.0,2,12.9,3.5,4,3,25.1
45,1,51.1,1.87,177,158,57,1.44,1126.0,0,26.2,3.4,4,2,14.61
40,0,57.4,1.71,168,143,61,1.87,1337.0,2,18.3,2.7,5,3,19.63
54,1,114.9,1.92,188,135,71,1.2,802.0,1,20.7,2.6,4,2,31.17
49,0,62.1,1.66,173,152,73,1.37,937.0,1,31.3,1.8,3,2,22.54
50,1,57.1,1.91,184,131,68,1.09,707.0,3,29.5,2.7,4,2,15.65
18,1,68.1,1.8,174,153,50,1.1,926.0,3,25.4,3.3,4,2,21.02
36,1,69.2,1.65,165,126,65,1.23,852.0,2,27.2,2.7,3,1,25.42
19,0,65.2,1.52,188,130,71,1.23,800.0,0,30.6,2.4,3,1,28.22
43,1,108.6,1.73,174,150,66,1.33,988.0,0,28.5,2.2,2,1,36.29
49,0,40.0,1.65,188,148,74,1.03,686.0,3,34.3,2.5,3,2,14.69
23,0,41.9,1.58,163,132,67,0.56,370.0,1,26.8,1.8,3,1,16.78
49,0,68.3,1.52,177,150,60,1.45,979.0,2,29.4,1.8,4,2,29.56
21,1,88.4,1.6,198,121,67,1.71,1138.0,1,12.0,3.5,4,3,34.53
28,1,66.0,1.9,175,158,56,1.18,1025.0,1,24.1,3.0,3,1,18.28
34,1,71.9,1.64,170,134,67,1.26,929.0,0,21.3,2.1,4,2,26.73
55,1,75.6,1.71,173,130,57,1.03,663.0,2,28.1,2.0,4,2,25.85
41,0,63.4,1.59,162,153,55,1.84,1267.0,1,15.2,2.7,5,3,25.08
22,0,71.6,1.77,197,158,56,1.49,1177.0,3,30.3,1.8,3,1,22.85
51,0,57.4,1.77,177,123,72,1.08,598.0,3,31.6,2.1,4,2,18.32
23,1,83.8,1.99,179,130,71,1.79,1280.0,0,11.0,3.5,4,3,21.16
39,0,55.9,1.71,184,148,59,1.95,1443.0,3,19.5,2.7,5,3,19.12
28,1,87.0,1.76,197,121,60,1.2,799.0,3,28.4,3.5,3,2,28.09
33,0,65.3,1.71,172,135,74,1.18,796.0,1,29.7,2.5,4,2,22.33
50,1,45.4,1.67,163,158,62,1.37,1071.0,3,24.1,2.8,4,2,16.28
26,1,87.1,1.87,173,132,58,1.71,1241.0,3,11.2,3.5,4,3,24.91
23,0,78.6,1.73,192,156,56,1.47,1147.0,1,32.3,1.5,4,2,26.26
33,0,78.0,1.71,187,136,58,1.08,734.0,0,26.3,2.1,3,1,26.67
46,0,58.0,1.53,196,140,62,1.83,1153.0,0,18.4,2.7,4,3,24.78
20,0,71.3,1.69,167,163,52,1.28,1043.0,2,33.4,2.3,3,2,24.96
37,1,49.1,1.74,193,138,52,1.11,842.0,3,22.3,2.6,3,2,16.22
53,0,78.3,1.65,164,126,50,1.24,703.0,1,33.7,1.6,3,1,28.76
36,0,57.3,1.64,164,157,70,1.13,887.0,2,25.3,1.8,4,2,21.3
43,0,48.4,1.61,190,127,69,1.28,732.0,0,34.1,2.4,2,1,18.67
20,1,76.4,1.62,168,132,51,1.35,980.0,0,21.2,2.6,4,2,29.11
36,1,110.2,1.77,191,156,74,1.19,1021.0,1,26.5,3.4,2,1,35.18
37,0,72.9,1.76,192,121,52,1.21,732.0,2,27.5,1.9,3,2,23.53
49,1,82.1,1.86,162,160,64,1.87,1481.0,2,14.2,3.5,4,3,23.73
24,0,58.9,1.76,189,130,73,0.63,410.0,1,30.1,1.7,3,1,19.01
58,1,82.2,1.87,171,143,55,1.57,1111.0,1,10.7,3.5,4,3,23.51
50,1,96.7,1.72,188,125,62,1.46,903.0,2,25.7,2.7,3,2,32.69
57,1,81.4,1.86,162,145,70,1.8,1292.0,0,12.0,3.5,5,3,23.53
56,1,107.8,1.73,185,126,50,1.09,680.0,3,26.6,2.8,3,2,36.02
35,0,65.8,1.62,189,158,69,1.0,790.0,0,33.8,1.5,4,2,25.07
57,0,68.5,1.56,168,138,68,1.45,900.0,1,29.1,1.6,4,2,28.15
18,0,63.9,1.59,185,125,50,1.87,1169.0,2,16.4,2.7,4,3,25.28
28,1,76.3,1.62,161,162,70,1.16,1034.0,2,20.1,2.3,3,2,29.07
45,0,44.5,1.65,162,148,71,1.44,959.0,3,30.7,1.6,3,1,16.35
42,0,50.7,1.75,163,162,51,1.29,940.0,2,29.0,1.9,3,2,16.56
40,0,55.1,1.61,184,158,64,1.55,1224.0,3,16.9,2.7,4,3,21.26
48,1,73.7,1.61,172,121,63,1.36,815.0,0,21.8,3.6,4,2,28.43
47,1,55.6,1.77,198,138,68,1.2,820.0,0,24.3,2.9,4,2,17.75
59,1,86.9,1.76,194,123,60,1.13,688.0,2,29.8,3.1,3,2,28.05
52,0,60.3,1.68,182,125,64,1.6,900.0,2,16.5,2.7,4,3,21.36
24,0,40.4,1.64,168,168,55,0.99,832.0,1,31.0,1.9,2,1,15.02
33,0,78.5,1.66,161,156,69,1.29,1006.0,1,32.8,1.9,4,2,28.49
43,1,102.6,1.72,190,147,58,0.82,597.0,2,27.5,2.0,2,1,34.68
19,1,110.8,1.91,161,149,54,1.31,1074.0,2,23.3,2.9,2,1,30.37
18,0,60.9,1.79,191,126,69,1.11,699.0,0,31.1,2.1,2,1,19.01
29,1,55.7,1.61,177,128,51,1.41,993.0,2,28.7,2.3,3,1,21.49
22,1,110.5,1.92,172,144,55,1.16,919.0,1,20.2,3.3,3,2,29.98
54,1,55.2,1.71,164,152,67,0.77,579.0,0,24.4,2.8,2,1,18.88
49,1,46.5,1.72,169,120,72,1.4,832.0,3,22.2,2.6,4,2,15.72
26,0,70.9,1.66,184,125,68,0.81,506.0,1,28.9,1.7,3,1,25.73
58,1,74.6,1.75,193,137,58,1.09,739.0,1,24.2,2.9,2,1,24.36
52,1,45.1,1.72,196,129,70,0.93,594.0,0,27.5,3.3,2,1,15.24
36,1,99.9,1.99,189,147,73,1.33,1075.0,3,20.9,2.5,3,1,25.23
33,1,117.0,1.61,166,130,55,1.04,744.0,1,25.1,2.4,3,2,45.14
20,0,75.9,1.73,165,152,63,1.39,1056.0,2,30.6,2.1,4,2,25.36
37,0,71.2,1.64,162,120,73,1.11,666.0,1,29.9,1.7,3,2,26.47
41,1,78.8,1.72,172,132,62,1.01,660.0,0,27.3,3.1,4,2,26.64
50,1,50.6,1.69,162,156,60,1.31,1012.0,0,23.8,3.0,2,1,17.72
41,1,82.5,1.79,185,139,61,1.69,1163.0,0,14.7,3.5,4,3,25.75
28,1,108.5,1.79,183,120,68,1.33,878.0,1,24.8,2.1,4,2,33.86
25,1,49.9,1.98,165,122,68,1.15,772.0,3,25.7,2.1,3,2,12.73
53,1,125.1,1.91,171,137,70,0.52,353.0,2,28.3,3.1,2,1,34.29
55,0,79.7,1.66,195,160,68,1.06,763.0,0,27.8,1.9,2,1,28.92
57,1,126.8,1.63,161,133,73,0.96,632.0,3,20.8,2.1,2,1,47.72
37,0,54.6,1.57,170,150,62,1.31,982.0,2,32.1,2.4,3,1,22.15
52,0,47.8,1.54,198,146,63,1.34,880.0,0,29.8,1.9,3,2,20.16
42,1,97.9,1.91,193,136,73,1.01,680.0,2,29.0,2.8,3,2,26.84
52,0,63.1,1.54,185,165,67,1.36,1010.0,2,34.8,1.8,3,2,26.61
42,0,72.4,1.69,177,148,61,1.07,713.0,3,29.0,2.3,3,2,25.35
46,0,58.9,1.7,180,155,53,1.52,1060.0,2,17.1,2.7,4,3,20.38
35,0,50.4,1.6,195,156,59,1.03,803.0,0,29.1,1.9,4,2,19.69
35,0,64.2,1.59,199,145,66,1.63,1182.0,3,16.6,2.7,5,3,25.39
19,0,58.8,1.77,181,136,53,1.4,952.0,1,32.8,2.7,2,1,18.77
52,1,105.2,1.62,189,141,61,1.36,949.0,1,27.6,3.2,3,1,40.09
33,0,45.9,1.5,189,144,62,0.92,662.0,3,29.8,1.7,3,1,20.4
58,0,65.2,1.63,167,121,53,1.12,610.0,1,25.4,2.0,3,2,24.54
53,0,56.3,1.79,193,141,59,1.52,964.0,2,16.5,2.7,5,3,17.57
50,1,90.0,1.7,168,124,74,0.81,497.0,0,22.9,2.7,2,1,31.14
21,0,60.0,1.7,179,123,52,1.97,1212.0,2,19.1,2.7,5,3,20.76
50,1,51.5,1.71,199,155,64,1.48,1136.0,3,20.9,2.9,2,1,17.61
31,0,63.1,1.64,184,125,51,1.54,962.0,0,19.0,2.7,4,3,23.46
38,1,91.5,1.77,178,140,74,0.8,616.0,3,26.7,3.4,2,1,29.21
37,1,48.7,1.67,164,132,74,1.39,1009.0,3,27.3,3.0,2,1,17.46
25,0,57.8,1.56,170,156,66,1.35,1053.0,3,29.3,1.6,3,2,23.75
24,0,42.0,1.75,174,144,55,0.83,598.0,2,31.8,2.3,3,1,13.71
20,1,128.4,1.92,167,145,57,0.63,502.0,0,26.1,2.0,2,1,34.83
34,0,74.2,1.57,178,158,52,1.47,1161.0,0,32.7,2.4,3,1,30.1
50,1,89.6,1.68,182,139,74,1.79,1232.0,0,12.2,3.5,5,3,31.75
29,1,125.9,2.0,186,152,67,1.36,1137.0,2,24.7,3.1,4,2,31.48
39,1,105.5,1.99,199,133,71,0.81,593.0,1,26.4,2.5,2,1,26.64
39,1,93.4,1.7,191,155,50,1.1,938.0,2,21.1,2.5,4,2,32.32
47,1,82.1,1.84,185,136,65,1.37,922.0,2,24.4,3.4,4,2,24.25
55,0,42.9,1.69,186,140,56,0.9,567.0,3,34.7,2.4,2,1,15.02
55,1,128.4,1.68,178,165,52,1.13,923.0,0,20.4,2.6,4,2,45.49
25,1,112.4,1.96,188,135,72,1.42,1054.0,0,23.2,2.5,2,1,29.26
44,0,77.7,1.79,198,165,53,1.41,1047.0,1,28.1,2.2,3,1,24.25
44,1,89.3,1.99,192,135,58,1.4,936.0,1,26.3,2.0,4,2,22.55
51,0,70.3,1.55,178,139,54,1.4,876.0,3,26.1,1.6,3,1,29.26
38,0,59.1,1.72,196,148,68,1.07,792.0,0,31.3,1.7,3,2,19.98
47,0,49.9,1.69,178,147,64,1.48,979.0,1,26.0,1.7,3,2,17.47
50,1,101.7,1.67,192,127,57,0.53,333.0,1,20.9,2.9,2,1,36.47
45,1,93.0,1.91,175,143,55,1.03,729.0,0,27.3,3.7,3,2,25.49
50,1,87.4,1.6,182,122,67,0.77,465.0,2,23.2,3.1,2,1,34.14
22,0,55.1,1.61,166,144,68,1.62,1166.0,1,19.9,2.7,4,3,21.26
36,1,123.7,1.69,185,138,73,1.3,987.0,0,20.4,2.1,4,2,43.31
21,0,61.3,1.57,191,152,64,1.94,1474.0,1,17.2,2.7,4,3,24.87
52,1,72.3,1.94,171,121,56,1.46,874.0,3,21.1,2.9,3,2,19.21
34,0,69.2,1.53,167,134,59,1.36,911.0,1,28.5,2.1,2,1,29.56
45,1,81.4,1.61,164,141,55,1.14,796.0,0,30.0,2.2,4,2,31.4
47,1,84.8,1.86,187,129,63,1.85,1181.0,1,14.4,3.5,5,3,24.51
46,1,55.1,1.72,164,137,66,1.43,970.0,3,20.5,3.6,3,2,18.62
23,0,59.0,1.78,185,141,58,1.67,1177.0,3,17.8,2.7,5,3,18.62
